Gene ,Gene Name,miRNA ,Target Score,Human
Capn6,calpain 6,miR-200c-3p,83,✓
Zic3,zinc finger protein of the cerebellum 3,miR-200c-3p,83,✓
Dach1,dachshund family transcription factor 1,miR-200c-3p,83,✓
Zfp68,zinc finger protein 68,miR-200c-3p,83,
Pik3ca,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha",miR-200c-3p,83,✓
Ppp1r18,"protein phosphatase 1, regulatory subunit 18",miR-200c-3p,83,✓
Ptpn14,"protein tyrosine phosphatase, non-receptor type 14",miR-200c-3p,83,✓
Hs3st1,heparan sulfate (glucosamine) 3-O-sulfotransferase 1,miR-200c-3p,83,✓
Tln1,talin 1,miR-200c-3p,83,✓
Sox2,SRY (sex determining region Y)-box 2,miR-200c-3p,83,✓
Hipk1,homeodomain interacting protein kinase 1,miR-200c-3p,83,✓
Depdc1b,DEP domain containing 1B,miR-200c-3p,83,✓
Ppp4r1,"protein phosphatase 4, regulatory subunit 1",miR-200c-3p,83,✓
Ncs1,neuronal calcium sensor 1,miR-200c-3p,83,✓
Paxip1,PAX interacting (with transcription-activation domain) protein 1,miR-200c-3p,83,✓
Exoc5,exocyst complex component 5,miR-200a-3p,83,✓
Fam168b,"family with sequence similarity 168, member B",miR-200a-3p,83,✓
Ccp110,centriolar coiled coil protein 110,miR-200a-3p,83,✓
Rnf122,ring finger protein 122,miR-200a-3p,83,✓
Mapk1,mitogen-activated protein kinase 1,miR-200a-3p,83,✓
Zfp606,zinc finger protein 606,miR-200a-3p,83,
Plcxd2,"phosphatidylinositol-specific phospholipase C, X domain containing 2",miR-200a-3p,83,✓
Samd8,sterile alpha motif domain containing 8,miR-200a-3p,83,✓
Sp4,trans-acting transcription factor 4,miR-200a-3p,83,✓
Slc23a2,"solute carrier family 23 (nucleobase transporters), member 2",miR-200a-3p,83,✓
Snx27,sorting nexin family member 27,miR-200a-3p,83,✓
Bicd2,BICD cargo adaptor 2,miR-200a-3p,83,✓
Shisa2,shisa family member 2,miR-200a-3p,83,✓
Tfap2b,transcription factor AP-2 beta,miR-200a-3p,83,✓
Slain2,"SLAIN motif family, member 2",miR-200a-3p,83,✓
Mysm1,"myb-like, SWIRM and MPN domains 1",miR-200a-3p,83,✓
Zfp607b,zinc finger protein 607B,miR-200a-3p,83,
Pdxp,"pyridoxal (pyridoxine, vitamin B6) phosphatase",miR-200a-3p,83,✓
Rdx,radixin,miR-200a-3p,83,✓
Mapk7,mitogen-activated protein kinase 7,miR-143-3p,83,✓
Sytl5,synaptotagmin-like 5,miR-143-3p,83,✓
Rdh1,retinol dehydrogenase 1 (all trans),miR-143-3p,83,✓
Becn2,beclin 2,miR-143-3p,83,✓
Strn3,"striatin, calmodulin binding protein 3",miR-143-3p,83,✓
Wrnip1,Werner helicase interacting protein 1,miR-203-3p,82,✓
Atg14,autophagy related 14,miR-203-3p,82,✓
Plekha8,"pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 8",miR-203-3p,82,✓
Ppm1d,"protein phosphatase 1D magnesium-dependent, delta isoform",miR-203-3p,82,✓
Ids,iduronate 2-sulfatase,miR-203-3p,82,✓
Ptpn9,"protein tyrosine phosphatase, non-receptor type 9",miR-203-3p,82,✓
Amot,angiomotin,miR-203-3p,82,✓
Crebzf,CREB/ATF bZIP transcription factor,miR-203-3p,82,✓
Hist2h2be,"histone cluster 2, H2be",miR-203-3p,82,✓
Med14,mediator complex subunit 14,miR-203-3p,82,✓
Zmym4,"zinc finger, MYM-type 4",miR-203-3p,82,✓
Zfp458,zinc finger protein 458,miR-203-3p,82,
Hyal4,hyaluronoglucosaminidase 4,miR-203-3p,82,✓
Nlk,nemo like kinase,miR-203-3p,82,✓
Smad1,SMAD family member 1,miR-203-3p,82,✓
Fam76b,"family with sequence similarity 76, member B",miR-203-3p,82,✓
Gpr180,G protein-coupled receptor 180,miR-203-3p,82,✓
C1rl,"complement component 1, r subcomponent-like",miR-203-3p,82,✓
Lnx2,ligand of numb-protein X 2,miR-203-3p,82,✓
Slc24a2,"solute carrier family 24 (sodium/potassium/calcium exchanger), member 2",miR-203-3p,82,✓
Nell2,NEL-like 2,miR-203-3p,82,✓
Derl2,"Der1-like domain family, member 2",miR-203-3p,82,✓
Ptchd3,patched domain containing 3,miR-125b-1-3p,82,✓
Gpr4,G protein-coupled receptor 4,miR-374b-3p,82,✓
Cep97,centrosomal protein 97,miR-374b-3p,82,✓
Dennd6a,DENN/MADD domain containing 6A,miR-374b-3p,82,✓
Abhd18,abhydrolase domain containing 18,miR-374b-3p,82,✓
Zfp68,zinc finger protein 68,miR-374b-3p,82,
Map3k21,mitogen-activated protein kinase kinase kinase 21,miR-374b-3p,82,✓
Asic1,acid-sensing (proton-gated) ion channel 1,miR-30b-3p,82,✓
Sgms2,sphingomyelin synthase 2,miR-30b-3p,82,✓
Timp3,tissue inhibitor of metalloproteinase 3,miR-30b-3p,82,✓
Mrgprd,"MAS-related GPR, member D",miR-30b-3p,82,✓
Trp53bp1,transformation related protein 53 binding protein 1,miR-30b-3p,82,
Xcr1,chemokine (C motif) receptor 1,miR-30b-3p,82,✓
Dctn6,dynactin 6,let-7g-3p,82,✓
Ptprt,"protein tyrosine phosphatase, receptor type, T",let-7g-3p,82,✓
Tsc22d2,"TSC22 domain family, member 2",let-7g-3p,82,✓
Cmip,c-Maf inducing protein,let-7g-3p,82,✓
Sdad1,SDA1 domain containing 1,let-7g-3p,82,✓
Creb3l1,cAMP responsive element binding protein 3-like 1,let-7g-3p,82,✓
Galnt2,polypeptide N-acetylgalactosaminyltransferase 2,let-7g-3p,82,✓
Unk,unkempt family zinc finger,let-7g-3p,82,✓
Clec10a,"C-type lectin domain family 10, member A",let-7g-3p,82,✓
Pja1,praja ring finger ubiquitin ligase 1,let-7g-3p,82,✓
Ssu72,Ssu72 RNA polymerase II CTD phosphatase homolog (yeast),let-7g-3p,82,✓
Mastl,microtubule associated serine/threonine kinase-like,let-7g-3p,82,✓
Gsk3a,glycogen synthase kinase 3 alpha,let-7g-3p,82,✓
Wdr47,WD repeat domain 47,let-7g-3p,82,✓
Neurod1,neurogenic differentiation 1,let-7g-3p,82,✓
Rab7,"RAB7, member RAS oncogene family",let-7g-3p,82,✓
Rtn4rl1,reticulon 4 receptor-like 1,let-7g-3p,82,✓
Glipr1l2,GLI pathogenesis-related 1 like 2,let-7g-3p,82,✓
Tbc1d10b,"TBC1 domain family, member 10b",let-7g-3p,82,✓
Celf4,"CUGBP, Elav-like family member 4",let-7g-3p,82,✓
Abca6,"ATP-binding cassette, sub-family A (ABC1), member 6",let-7g-3p,82,✓
Crispld1,cysteine-rich secretory protein LCCL domain containing 1,let-7g-3p,82,✓
Zfp516,zinc finger protein 516,let-7g-3p,82,
Ccn2,cellular communication network factor 1,let-7g-3p,82,✓
Fut9,fucosyltransferase 9,let-7g-3p,82,✓
Map3k2,mitogen-activated protein kinase kinase kinase 2,miR-23a-3p,82,✓
Tbck,TBC1 domain containing kinase,miR-23a-3p,82,✓
Zbtb44,zinc finger and BTB domain containing 44,miR-23a-3p,82,✓
Ano4,anoctamin 4,miR-23a-3p,82,✓
Cpsf6,cleavage and polyadenylation specific factor 6,miR-23a-3p,82,✓
Frem1,Fras1 related extracellular matrix protein 1,miR-23a-3p,82,✓
A1cf,APOBEC1 complementation factor,miR-23a-3p,82,✓
Cep350,centrosomal protein 350,miR-23a-3p,82,✓
C1d,C1D nuclear receptor co-repressor,miR-23a-3p,82,✓
Lypla1,lysophospholipase 1,miR-23a-3p,82,✓
Lhfpl2,lipoma HMGIC fusion partner-like 2,miR-23a-3p,82,✓
Ptp4a2,protein tyrosine phosphatase 4a2,miR-23a-3p,82,✓
Gng2,"guanine nucleotide binding protein (G protein), gamma 2",miR-23a-3p,82,✓
Dgkb,"diacylglycerol kinase, beta",miR-23a-3p,82,✓
Sh3bgrl,SH3-binding domain glutamic acid-rich protein like,miR-23a-3p,82,✓
B3gnt5,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5",miR-23a-3p,82,✓
Zfp874a,zinc finger protein 874a,miR-23a-3p,82,
Zeb1,zinc finger E-box binding homeobox 1,miR-23a-3p,82,✓
Hdac9,histone deacetylase 9,miR-23a-3p,82,✓
Sap18,Sin3-associated polypeptide 18,miR-23a-3p,82,✓
Hoxa11,homeobox A11,miR-23a-3p,82,✓
Rtf1,"RTF1, Paf1/RNA polymerase II complex component",miR-23a-3p,82,✓
Uhrf1bp1l,UHRF1 (ICBP90) binding protein 1-like,miR-23a-3p,82,✓
Caps2,calcyphosphine 2,miR-23a-3p,82,✓
G3bp2,GTPase activating protein (SH3 domain) binding protein 2,miR-23a-3p,82,✓
Sox6,SRY (sex determining region Y)-box 6,miR-23a-3p,82,✓
Rock2,Rho-associated coiled-coil containing protein kinase 2,miR-23a-3p,82,✓
Ubn2,ubinuclein 2,miR-23a-3p,82,✓
Adamtsl3,ADAMTS-like 3,miR-23a-3p,82,✓
Col4a1,"collagen, type IV, alpha 1",miR-23a-3p,82,✓
Dhx15,DEAH (Asp-Glu-Ala-His) box polypeptide 15,miR-23a-3p,82,✓
Rbm25,RNA binding motif protein 25,miR-23a-3p,82,✓
Endod1,endonuclease domain containing 1,miR-23a-3p,82,✓
Defb20,defensin beta 20,miR-23a-3p,82,✓
Gpr180,G protein-coupled receptor 180,miR-23a-3p,82,✓
Met,met proto-oncogene,miR-23a-3p,82,✓
Apopt1,"apoptogenic, mitochondrial 1",miR-23a-3p,82,✓
Mdfi,MyoD family inhibitor,miR-23a-3p,82,✓
Olfr78,olfactory receptor 78,miR-23a-3p,82,
Meis2,Meis homeobox 2,miR-23a-3p,82,✓
Zfp273,zinc finger protein 273,miR-23a-3p,82,
Myh4,"myosin, heavy polypeptide 4, skeletal muscle",miR-23a-3p,82,✓
Trp53bp2,transformation related protein 53 binding protein 2,miR-222-3p,82,
Slc15a5,"solute carrier family 15, member 5",miR-222-3p,82,✓
Shprh,SNF2 histone linker PHD RING helicase,miR-222-3p,82,✓
Rev3l,"REV3 like, DNA directed polymerase zeta catalytic subunit",miR-222-3p,82,✓
Plekha2,"pleckstrin homology domain-containing, family A (phosphoinositide binding specific) member 2",miR-222-3p,82,✓
Braf,Braf transforming gene,miR-222-3p,82,✓
Syn3,synapsin III,miR-222-3p,82,✓
Bbc3,BCL2 binding component 3,miR-222-3p,82,✓
Arl5b,ADP-ribosylation factor-like 5B,miR-200c-3p,82,✓
Serinc1,serine incorporator 1,miR-200c-3p,82,✓
Vat1l,vesicle amine transport protein 1 like,miR-200c-3p,82,✓
Phc3,polyhomeotic 3,miR-200c-3p,82,✓
Tsc22d1,"TSC22 domain family, member 1",miR-200c-3p,82,✓
Sfr1,SWI5 dependent recombination repair 1,miR-200c-3p,82,✓
Ice2,interactor of little elongation complex ELL subunit 2,miR-200c-3p,82,✓
Eif5b,eukaryotic translation initiation factor 5B,miR-200c-3p,82,✓
Phf11a,PHD finger protein 11A,miR-200c-3p,82,
Zfp871,zinc finger protein 871,miR-200c-3p,82,
Gtf3c4,"general transcription factor IIIC, polypeptide 4",miR-200c-3p,82,✓
Piga,"phosphatidylinositol glycan anchor biosynthesis, class A",miR-200c-3p,82,✓
Gtf2e1,"general transcription factor II E, polypeptide 1 (alpha subunit)",miR-200c-3p,82,✓
Twistnb,twist basic helix-loop-helix transcription factor 1 neighbor,miR-200c-3p,82,✓
Ppm1b,"protein phosphatase 1B, magnesium dependent, beta isoform",miR-200c-3p,82,✓
Bnc2,basonuclin 2,miR-200c-3p,82,✓
Eif4e2,eukaryotic translation initiation factor 4E member 2,miR-200c-3p,82,✓
Ttc14,tetratricopeptide repeat domain 14,miR-200c-3p,82,✓
Fut9,fucosyltransferase 9,miR-200c-3p,82,✓
Plscr4,phospholipid scramblase 4,miR-200a-3p,82,✓
Pphln1,periphilin 1,miR-200a-3p,82,✓
Ntrk2,"neurotrophic tyrosine kinase, receptor, type 2",miR-200a-3p,82,✓
Phc3,polyhomeotic 3,miR-200a-3p,82,✓
Camsap2,"calmodulin regulated spectrin-associated protein family, member 2",miR-200a-3p,82,✓
Iqsec1,IQ motif and Sec7 domain 1,miR-200a-3p,82,✓
Tgfbr1,"transforming growth factor, beta receptor I",miR-200a-3p,82,✓
Qk,quaking,miR-200a-3p,82,
Etnk1,ethanolamine kinase 1,miR-200a-3p,82,✓
Plagl2,pleiomorphic adenoma gene-like 2,miR-200a-3p,82,✓
Aco1,aconitase 1,miR-200a-3p,82,✓
Prtg,protogenin,miR-200a-3p,82,✓
Myrip,myosin VIIA and Rab interacting protein,miR-200a-3p,82,✓
Rarb,"retinoic acid receptor, beta",miR-200a-3p,82,✓
Rab38,"RAB38, member RAS oncogene family",miR-200a-3p,82,✓
Elavl2,ELAV like RNA binding protein 1,miR-200a-3p,82,✓
A1cf,APOBEC1 complementation factor,miR-143-3p,82,✓
Zfp987,zinc finger protein 987,miR-143-3p,82,
Sh3glb1,SH3-domain GRB2-like B1 (endophilin),miR-143-3p,82,✓
Milr1,mast cell immunoglobulin like receptor 1,miR-143-3p,82,✓
Il23r,interleukin 23 receptor,miR-143-3p,82,✓
Slc7a11,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 11",miR-143-3p,82,✓
Spink13,"serine peptidase inhibitor, Kazal type 13",miR-143-3p,82,✓
Fyb,FYN binding protein,miR-143-3p,82,✓
Nup214,nucleoporin 214,miR-143-3p,82,✓
Ube2e3,ubiquitin-conjugating enzyme E2E 3,miR-143-3p,82,✓
Aff1,"AF4/FMR2 family, member 1",miR-143-3p,82,✓
Ston2,stonin 2,miR-203-3p,81,✓
Acss3,acyl-CoA synthetase short-chain family member 3,miR-203-3p,81,✓
Mgat4c,"MGAT4 family, member C",miR-203-3p,81,✓
Tet1,tet methylcytosine dioxygenase 1,miR-203-3p,81,✓
Trub1,TruB pseudouridine (psi) synthase family member 1,miR-203-3p,81,✓
Phc3,polyhomeotic 3,miR-203-3p,81,✓
Fam196b,"family with sequence similarity 196, member B",miR-203-3p,81,✓
Lpp,LIM domain containing preferred translocation partner in lipoma,miR-203-3p,81,✓
Itga4,integrin alpha 4,miR-203-3p,81,✓
Npas4,neuronal PAS domain protein 4,miR-203-3p,81,✓
Rgl1,"ral guanine nucleotide dissociation stimulator,-like 1",miR-203-3p,81,✓
Map3k1,mitogen-activated protein kinase kinase kinase 1,miR-203-3p,81,✓
Rapgef1,Rap guanine nucleotide exchange factor (GEF) 1,miR-203-3p,81,✓
Plag1,pleiomorphic adenoma gene 1,miR-203-3p,81,✓
Slc38a2,"solute carrier family 38, member 2",miR-203-3p,81,✓
Afap1l2,actin filament associated protein 1-like 2,miR-203-3p,81,✓
Gtf3c3,"general transcription factor IIIC, polypeptide 3",miR-203-3p,81,✓
Ddx6,DEAD (Asp-Glu-Ala-Asp) box polypeptide 6,miR-203-3p,81,✓
Krtap31-1,keratin associated protein 31-1,miR-125b-1-3p,81,
Dlg2,discs large MAGUK scaffold protein 2,miR-374b-3p,81,✓
Clock,circadian locomotor output cycles kaput,miR-374b-3p,81,✓
Cdh12,cadherin 12,miR-374b-3p,81,✓
Vmn1r63,vomeronasal 1 receptor 63,miR-30b-3p,81,
Ftcd,formiminotransferase cyclodeaminase,miR-30b-3p,81,✓
Col5a2,"collagen, type V, alpha 2",miR-30b-3p,81,✓
Ranbp10,RAN binding protein 10,miR-30b-3p,81,✓
Mospd2,motile sperm domain containing 2,miR-30b-3p,81,✓
Cacna2d1,"calcium channel, voltage-dependent, alpha2/delta subunit 1",let-7g-3p,81,✓
Zfp362,zinc finger protein 362,let-7g-3p,81,
9230104L09Rik,RIKEN cDNA 9230104L09 gene,let-7g-3p,81,
Rspo2,R-spondin 2,let-7g-3p,81,✓
Tm2d3,TM2 domain containing 3,let-7g-3p,81,✓
Lsm8,"LSM8 homolog, U6 small nuclear RNA associated",let-7g-3p,81,✓
Nxph2,neurexophilin 2,let-7g-3p,81,✓
Pkp4,plakophilin 4,let-7g-3p,81,✓
Tbl1xr1,transducin (beta)-like 1X-linked receptor 1,let-7g-3p,81,✓
Ripor2,RHO family interacting cell polarization regulator 2,let-7g-3p,81,✓
Srpk2,serine/arginine-rich protein specific kinase 2,let-7g-3p,81,✓
G3bp2,GTPase activating protein (SH3 domain) binding protein 2,let-7g-3p,81,✓
Phf6,PHD finger protein 6,let-7g-3p,81,✓
Bmi1,Bmi1 polycomb ring finger oncogene,let-7g-3p,81,✓
Mef2d,myocyte enhancer factor 2D,let-7g-3p,81,✓
Gnrhr,gonadotropin releasing hormone receptor,let-7g-3p,81,✓
Ppp1r3d,"protein phosphatase 1, regulatory subunit 3D",let-7g-3p,81,✓
Abhd17b,abhydrolase domain containing 17B,let-7g-3p,81,✓
Hic2,hypermethylated in cancer 2,let-7g-3p,81,✓
Pias1,protein inhibitor of activated STAT 1,let-7g-3p,81,✓
Usp42,ubiquitin specific peptidase 42,let-7g-3p,81,✓
Bcor,BCL6 interacting corepressor,let-7g-3p,81,✓
D330045A20Rik,RIKEN cDNA D330045A20 gene,miR-23a-3p,81,
Tbr1,T-box brain gene 1,miR-23a-3p,81,✓
Adam19,a disintegrin and metallopeptidase domain 19 (meltrin beta),miR-23a-3p,81,✓
Ncoa1,nuclear receptor coactivator 1,miR-23a-3p,81,✓
Gprin3,GPRIN family member 3,miR-23a-3p,81,✓
Nrxn3,neurexin III,miR-23a-3p,81,✓
Rcn2,reticulocalbin 2,miR-23a-3p,81,✓
Npy5r,neuropeptide Y receptor Y5,miR-23a-3p,81,✓
Six4,sine oculis-related homeobox 4,miR-23a-3p,81,✓
Xk,X-linked Kx blood group,miR-23a-3p,81,✓
Nin,ninein,miR-23a-3p,81,✓
Stk35,serine/threonine kinase 35,miR-23a-3p,81,✓
Sumf1,sulfatase modifying factor 1,miR-23a-3p,81,✓
Hoxa3,homeobox A3,miR-23a-3p,81,✓
Adamts6,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 6",miR-23a-3p,81,✓
Lrrc2,leucine rich repeat containing 2,miR-23a-3p,81,✓
Vti1b,vesicle transport through interaction with t-SNAREs 1B,miR-23a-3p,81,✓
Trhr,thyrotropin releasing hormone receptor,miR-23a-3p,81,✓
Prlr,prolactin receptor,miR-23a-3p,81,✓
Gpr155,G protein-coupled receptor 155,miR-222-3p,81,✓
Gnb3,"guanine nucleotide binding protein (G protein), beta 3",miR-222-3p,81,✓
Gnai2,"guanine nucleotide binding protein (G protein), alpha inhibiting 2",miR-222-3p,81,✓
Rfx6,"regulatory factor X, 6",miR-222-3p,81,✓
Rgs6,regulator of G-protein signaling 6,miR-222-3p,81,✓
Anln,"anillin, actin binding protein",miR-200c-3p,81,✓
Hnrnpd,heterogeneous nuclear ribonucleoprotein D,miR-200c-3p,81,✓
Suz12,SUZ12 polycomb repressive complex 2 subunit,miR-200c-3p,81,✓
Mtss1l,metastasis suppressor 1-like,miR-200c-3p,81,✓
Casp2,caspase 2,miR-200c-3p,81,✓
Acaca,acetyl-Coenzyme A carboxylase alpha,miR-200c-3p,81,✓
Pkia,"protein kinase inhibitor, alpha",miR-200c-3p,81,✓
Myb,myeloblastosis oncogene,miR-200c-3p,81,✓
Itsn2,intersectin 2,miR-200c-3p,81,✓
Pgm2l1,phosphoglucomutase 2-like 1,miR-200c-3p,81,✓
Nufip2,nuclear fragile X mental retardation protein interacting protein 2,miR-200c-3p,81,✓
Xkr6,X-linked Kx blood group related 6,miR-200c-3p,81,✓
Adamts8,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 8",miR-200c-3p,81,✓
Sgk3,serum/glucocorticoid regulated kinase 3,miR-200c-3p,81,✓
Arid4b,AT rich interactive domain 4B (RBP1-like),miR-200c-3p,81,✓
Nectin4,nectin cell adhesion molecule 4,miR-200c-3p,81,✓
Atl2,atlastin GTPase 2,miR-200c-3p,81,✓
Myof,myoferlin,miR-200c-3p,81,✓
Smim13,small integral membrane protein 13,miR-200c-3p,81,✓
Angptl2,angiopoietin-like 2,miR-200a-3p,81,✓
H2afv,"H2A histone family, member V",miR-200a-3p,81,✓
Zfp846,zinc finger protein 846,miR-200a-3p,81,
Sirt1,sirtuin 1,miR-200a-3p,81,✓
Ncoa2,nuclear receptor coactivator 2,miR-200a-3p,81,✓
Psat1,phosphoserine aminotransferase 1,miR-200a-3p,81,✓
Ppfibp1,"PTPRF interacting protein, binding protein 1 (liprin beta 1)",miR-200a-3p,81,✓
Lhx6,LIM homeobox protein 6,miR-200a-3p,81,✓
Gata6,GATA binding protein 6,miR-200a-3p,81,✓
Sfpq,splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated),miR-200a-3p,81,✓
Stat5b,signal transducer and activator of transcription 5B,miR-200a-3p,81,✓
Fkbp5,FK506 binding protein 5,miR-200a-3p,81,✓
Htr5a,5-hydroxytryptamine (serotonin) receptor 5A,miR-200a-3p,81,✓
Msantd2,Myb/SANT-like DNA-binding domain containing 2,miR-200a-3p,81,✓
Pou4f2,"POU domain, class 4, transcription factor 2",miR-200a-3p,81,✓
Il2,interleukin 2,miR-200a-3p,81,✓
Phlpp2,PH domain and leucine rich repeat protein phosphatase 2,miR-200a-3p,81,✓
Cd247,CD247 antigen,miR-200a-3p,81,✓
Ppt2,palmitoyl-protein thioesterase 2,miR-200a-3p,81,✓
Nipsnap2,nipsnap homolog 2,miR-143-3p,81,✓
Rdh9,retinol dehydrogenase 9,miR-143-3p,81,
Ghitm,growth hormone inducible transmembrane protein,miR-143-3p,81,✓
Vash1,vasohibin 1,miR-143-3p,81,✓
Tbl1xr1,transducin (beta)-like 1X-linked receptor 1,miR-143-3p,81,✓
Kat6a,K(lysine) acetyltransferase 6A,miR-143-3p,81,✓
Ptbp3,polypyrimidine tract binding protein 3,miR-143-3p,81,✓
Gli3,GLI-Kruppel family member GLI3,miR-143-3p,81,✓
Cstf2,"cleavage stimulation factor, 3' pre-RNA subunit 2",miR-143-3p,81,✓
Gm12169,predicted gene 12169,miR-143-3p,81,
Isg20l2,interferon stimulated exonuclease gene 20-like 2,miR-143-3p,81,✓
Phex,"phosphate regulating endopeptidase homolog, X-linked",miR-203-3p,80,✓
Nckap5,NCK-associated protein 5,miR-203-3p,80,✓
Csmd3,CUB and Sushi multiple domains 3,miR-203-3p,80,✓
Arid2,"AT rich interactive domain 2 (ARID, RFX-like)",miR-203-3p,80,✓
Naa50,"N(alpha)-acetyltransferase 50, NatE catalytic subunit",miR-203-3p,80,✓
Ube2j2,ubiquitin-conjugating enzyme E2J 2,miR-203-3p,80,✓
Gabrb2,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 2",miR-203-3p,80,✓
Bclaf1,BCL2-associated transcription factor 1,miR-203-3p,80,✓
Afdn,"afadin, adherens junction formation factor",miR-203-3p,80,✓
Nbea,neurobeachin,miR-203-3p,80,✓
Hcar2,hydroxycarboxylic acid receptor 2,miR-203-3p,80,✓
Adamts15,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 15",miR-203-3p,80,✓
Dpm1,dolichol-phosphate (beta-D) mannosyltransferase 1,miR-203-3p,80,✓
Zmym2,"zinc finger, MYM-type 2",miR-203-3p,80,✓
Ctdspl2,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2",miR-203-3p,80,✓
Dennd4c,DENN/MADD domain containing 4C,miR-203-3p,80,✓
Zfp69,zinc finger protein 69,miR-203-3p,80,✓
Gucy1a2,"guanylate cyclase 1, soluble, alpha 2",miR-203-3p,80,✓
Slc8a1,"solute carrier family 8 (sodium/calcium exchanger), member 1",miR-203-3p,80,✓
Zbed4,"zinc finger, BED type containing 4",miR-203-3p,80,✓
Dkk2,dickkopf WNT signaling pathway inhibitor 2,miR-203-3p,80,✓
Chml,choroideremia-like,miR-374b-3p,80,✓
Srgap2,SLIT-ROBO Rho GTPase activating protein 2,miR-374b-3p,80,✓
Zfp790,zinc finger protein 790,miR-374b-3p,80,
Strbp,spermatid perinuclear RNA binding protein,miR-374b-3p,80,✓
Tmprss11a,"transmembrane protease, serine 11a",miR-374b-3p,80,✓
Alpl,"alkaline phosphatase, liver/bone/kidney",miR-30b-3p,80,✓
Efna5,ephrin A5,miR-30b-3p,80,✓
Ccdc71,coiled-coil domain containing 71,miR-30b-3p,80,✓
Epb41l5,erythrocyte membrane protein band 4.1 like 5,miR-30b-3p,80,✓
Mas1,MAS1 oncogene,miR-30b-3p,80,✓
Lrrc58,leucine rich repeat containing 58,miR-30b-3p,80,✓
Sec63,SEC63-like (S. cerevisiae),let-7g-3p,80,✓
Cend1,cell cycle exit and neuronal differentiation 1,let-7g-3p,80,✓
Lhx1,LIM homeobox protein 1,let-7g-3p,80,✓
Wdfy1,WD repeat and FYVE domain containing 1,let-7g-3p,80,✓
Scaf8,SR-related CTD-associated factor 8,let-7g-3p,80,✓
Ptk2b,PTK2 protein tyrosine kinase 2 beta,let-7g-3p,80,✓
Mon2,"MON2 homolog, regulator of endosome to Golgi trafficking",let-7g-3p,80,✓
Gpatch2l,G patch domain containing 2 like,let-7g-3p,80,✓
Ppp1r8,"protein phosphatase 1, regulatory subunit 8",let-7g-3p,80,✓
Map1b,microtubule-associated protein 1B,let-7g-3p,80,✓
Cep170,centrosomal protein 170,let-7g-3p,80,✓
Adnp,activity-dependent neuroprotective protein,let-7g-3p,80,✓
Inhbe,inhibin beta-E,let-7g-3p,80,✓
Ror2,receptor tyrosine kinase-like orphan receptor 2,let-7g-3p,80,✓
Fubp3,far upstream element (FUSE) binding protein 3,let-7g-3p,80,✓
Usp24,ubiquitin specific peptidase 24,let-7g-3p,80,✓
Fam76a,"family with sequence similarity 76, member A",let-7g-3p,80,✓
Plpp1,phospholipid phosphatase 1,let-7g-3p,80,✓
Nmd3,NMD3 ribosome export adaptor,let-7g-3p,80,✓
Zzef1,"zinc finger, ZZ-type with EF hand domain 1",let-7g-3p,80,✓
Asap1,"ArfGAP with SH3 domain, ankyrin repeat and PH domain1",miR-23a-3p,80,✓
4930453N24Rik,RIKEN cDNA 4930453N24 gene,miR-23a-3p,80,
Ccnh,cyclin H,miR-23a-3p,80,✓
Isca2,iron-sulfur cluster assembly 2,miR-23a-3p,80,✓
BC052040,cDNA sequence BC052040,miR-23a-3p,80,
L3mbtl4,L3MBTL4 histone methyl-lysine binding protein,miR-23a-3p,80,✓
Trim63,tripartite motif-containing 63,miR-23a-3p,80,✓
Zfp458,zinc finger protein 458,miR-23a-3p,80,
Rsbn1,"rosbin, round spermatid basic protein 1",miR-23a-3p,80,✓
Chst10,carbohydrate sulfotransferase 10,miR-23a-3p,80,✓
C5ar1,complement component 5a receptor 1,miR-23a-3p,80,✓
Plpp4,phospholipid phosphatase 4,miR-23a-3p,80,✓
Gprc5b,"G protein-coupled receptor, family C, group 5, member B",miR-23a-3p,80,✓
Brwd1,bromodomain and WD repeat domain containing 1,miR-23a-3p,80,✓
Fzd5,frizzled class receptor 5,miR-23a-3p,80,✓
Mdga2,MAM domain containing glycosylphosphatidylinositol anchor 2,miR-23a-3p,80,✓
1700056E22Rik,RIKEN cDNA 1700056E22 gene,miR-23a-3p,80,
Tshr,thyroid stimulating hormone receptor,miR-222-3p,80,✓
Lhfpl2,lipoma HMGIC fusion partner-like 2,miR-222-3p,80,✓
Cacnb4,"calcium channel, voltage-dependent, beta 4 subunit",miR-222-3p,80,✓
Dpp8,dipeptidylpeptidase 8,miR-222-3p,80,✓
Plpp3,phospholipid phosphatase 3,miR-222-3p,80,✓
Scai,suppressor of cancer cell invasion,miR-222-3p,80,✓
Mia3,melanoma inhibitory activity 3,miR-222-3p,80,✓
Creg2,cellular repressor of E1A-stimulated genes 2,miR-222-3p,80,✓
